Date,Open,High,Low,Close,Volume
2021-01-03,750.0,761.25,727.67,738.75,25000
2021-01-04,738.75,758.83,727.67,747.62,25350
2021-01-05,747.62,767.94,736.41,756.59,25700
2021-01-06,756.59,777.16,745.24,765.67,26050
2021-01-07,765.67,786.48,754.18,774.86,26400
2021-01-10,774.86,795.92,763.24,784.16,26750
2021-01-11,784.16,805.47,772.4,793.57,27100
2021-01-12,793.57,805.47,769.94,781.67,27450
2021-01-13,781.67,802.92,769.94,791.05,27800
2021-01-14,791.05,812.55,779.18,800.54,28150
2021-01-17,800.54,822.3,788.53,810.15,28500
2021-01-18,810.15,832.17,798.0,819.87,28850
2021-01-19,819.87,842.16,807.57,829.71,29200
2021-01-20,829.71,852.27,817.26,839.67,29550
2021-01-21,839.67,852.27,814.66,827.07,29900
2021-01-24,827.07,849.54,814.66,836.99,30250
2021-01-25,836.99,859.74,824.44,847.03,30600
2021-01-26,847.03,870.05,834.32,857.19,30950
2021-01-27,857.19,880.49,844.33,867.48,31300
2021-01-28,867.48,891.06,854.47,877.89,31650
2021-01-31,877.89,901.75,864.72,888.42,32000
2021-02-01,888.42,901.75,861.96,875.09,32350
2021-02-02,875.09,898.87,861.96,885.59,32700
2021-02-03,885.59,909.66,872.31,896.22,33050
2021-02-04,896.22,920.57,882.78,906.97,33400
2021-02-07,906.97,931.62,893.37,917.85,33750
2021-02-08,917.85,942.79,904.08,928.86,34100
2021-02-09,928.86,954.11,914.93,940.01,34450
2021-02-10,940.01,954.11,912.02,925.91,34800
2021-02-11,925.91,951.08,912.02,937.02,35150
2021-02-14,937.02,962.48,922.96,948.26,35500
2021-02-15,948.26,974.03,934.04,959.64,35850
2021-02-16,959.64,985.73,945.25,971.16,36200
2021-02-17,971.16,997.55,956.59,982.81,36550
2021-02-18,982.81,1009.52,968.07,994.6,36900
2021-02-21,994.6,1009.52,964.98,979.68,37250
2021-02-22,979.68,1006.31,964.98,991.44,37600
2021-02-23,991.44,1018.39,976.57,1003.34,37950
2021-02-24,1003.34,1030.61,988.29,1015.38,38300
2021-02-25,1015.38,1042.97,1000.15,1027.56,38650
2021-02-28,1027.56,1055.49,1012.15,1039.89,39000
2021-03-01,1039.89,1068.16,1024.29,1052.37,39350
2021-03-02,1052.37,1068.16,1021.03,1036.58,39700
2021-03-03,1036.58,1064.76,1021.03,1049.02,40050
2021-03-04,1049.02,1077.53,1033.28,1061.61,40400
2021-03-07,1061.61,1090.47,1045.69,1074.35,40750
2021-03-08,1074.35,1103.55,1058.23,1087.24,41100
2021-03-09,1087.24,1116.79,1070.93,1100.29,41450
2021-03-10,1100.29,1130.19,1083.79,1113.49,41800
2021-03-11,1113.49,1130.19,1080.34,1096.79,42150
2021-03-14,1096.79,1126.6,1080.34,1109.95,42500
2021-03-15,1109.95,1140.12,1093.3,1123.27,42850
2021-03-16,1123.27,1153.8,1106.42,1136.75,43200
2021-03-17,1136.75,1167.65,1119.7,1150.39,43550
2021-03-18,1150.39,1181.65,1133.13,1164.19,43900
2021-03-21,1164.19,1195.83,1146.73,1178.16,44250
2021-03-22,1178.16,1195.83,1143.08,1160.49,44600
2021-03-23,1160.49,1192.04,1143.08,1174.42,44950
2021-03-24,1174.42,1206.34,1156.8,1188.51,45300
2021-03-25,1188.51,1220.81,1170.68,1202.77,45650
2021-03-28,1202.77,1235.46,1184.73,1217.2,46000
2021-03-29,1217.2,1250.29,1198.94,1231.81,46350
2021-03-30,1231.81,1265.29,1213.33,1246.59,46700
2021-03-31,1246.59,1265.29,1209.47,1227.89,47050
2021-04-01,1227.89,1261.26,1209.47,1242.62,47400
2021-04-04,1242.62,1276.39,1223.98,1257.53,47750
2021-04-05,1257.53,1291.71,1238.67,1272.62,48100
2021-04-06,1272.62,1307.21,1253.53,1287.89,48450
2021-04-07,1287.89,1322.89,1268.57,1303.34,48800
2021-04-08,1303.34,1338.76,1283.79,1318.98,49150
2021-04-11,1318.98,1338.76,1279.71,1299.2,49500
2021-04-12,1299.2,1334.51,1279.71,1314.79,49850
2021-04-13,1314.79,1350.53,1295.07,1330.57,50200
2021-04-14,1330.57,1366.74,1310.61,1346.54,50550
2021-04-15,1346.54,1383.14,1326.34,1362.7,50900
2021-04-18,1362.7,1399.74,1342.26,1379.05,51250
2021-04-19,1379.05,1416.53,1358.36,1395.6,51600
2021-04-20,1395.6,1416.53,1354.05,1374.67,51950
2021-04-21,1374.67,1412.04,1354.05,1391.17,52300
2021-04-22,1391.17,1428.98,1370.3,1407.86,52650
2021-04-25,1407.86,1446.12,1386.74,1424.75,53000
2021-04-26,1424.75,1463.48,1403.38,1441.85,53350
2021-04-27,1441.85,1481.04,1420.22,1459.15,53700
2021-04-28,1459.15,1498.81,1437.26,1476.66,54050
2021-04-29,1476.66,1498.81,1432.69,1454.51,54400
2021-05-02,1454.51,1494.04,1432.69,1471.96,54750
2021-05-03,1471.96,1511.96,1449.88,1489.62,55100
2021-05-04,1489.62,1530.11,1467.28,1507.5,55450
2021-05-05,1507.5,1548.47,1484.89,1525.59,55800
2021-05-06,1525.59,1567.06,1502.71,1543.9,56150
2021-05-09,1543.9,1585.87,1520.74,1562.43,56500
2021-05-10,1562.43,1585.87,1515.91,1538.99,56850
2021-05-11,1538.99,1580.82,1515.91,1557.46,57200
2021-05-12,1557.46,1599.79,1534.1,1576.15,57550
