Symbol,Company Name,Sector
NABIL,Nabil Bank Limited,Commercial Banks
GBIME,Global IME Bank Limited,Commercial Banks
NICA,NIC Asia Bank Limited,Commercial Banks
EBL,Everest Bank Limited,Commercial Banks
SCB,Standard Chartered Bank Nepal,Commercial Banks
SBL,Siddhartha Bank Limited,Commercial Banks
SANIMA,Sanima Bank Limited,Commercial Banks
PCBL,Prime Commercial Bank Limited,Commercial Banks
NMB,NMB Bank Limited,Commercial Banks
PRVU,Prabhu Bank Limited,Commercial Banks
KBL,Kumari Bank Limited,Commercial Banks
LSL,Laxmi Sunrise Bank Limited,Commercial Banks
MBL,Machhapuchhre Bank Limited,Commercial Banks
HBL,Himalayan Bank Limited,Commercial Banks
SBI,Nepal SBI Bank Limited,Commercial Banks
NBL,Nepal Bank Limited,Commercial Banks
ADBL,Agricultural Development Bank,Commercial Banks
CZBIL,Citizens Bank International,Commercial Banks
BOKL,Bank of Kathmandu Limited,Commercial Banks
NCCB,Nepal Credit & Commerce Bank,Commercial Banks
CHCL,Chilime Hydropower Co.,Hydropower
UPPER,Upper Tamakoshi Hydropower,Hydropower
SHPC,Sanima Mai Hydropower,Hydropower
BPCL,Butwal Power Company,Hydropower
AHPC,Apex Hydropower Limited,Hydropower
AKPL,Arun Kabeli Power Limited,Hydropower
BARUN,Barun Hydropower Co.,Hydropower
CHL,Chhyangdi Hydropower Ltd.,Hydropower
DHPL,Dibyashwori Hydropower,Hydropower
GHL,Ghalemdi Hydro Limited,Hydropower
GLH,Greenlife Hydropower Limited,Hydropower
HDHPC,Himal Dolakha Hydropower,Hydropower
HURJA,Himalayan Urja Bikas Co.,Hydropower
JOSHI,Joshi Hydropower Development,Hydropower
KKHC,Khanikhola Hydropower Co.,Hydropower
KPCL,Kalika Power Company Ltd.,Hydropower
LEC,Liberty Energy Company,Hydropower
MEN,Mountain Energy Nepal,Hydropower
MHNL,Mountain Hydro Nepal Ltd.,Hydropower
NGPL,Ngadi Group Power Ltd.,Hydropower
NHPC,National Hydro Power Co.,Hydropower
PMHPL,Panchakanya Mai Hydropower,Hydropower
PPCL,Panchthar Power Company,Hydropower
RADHI,Radhi Bidyut Company,Hydropower
RHPC,Rairang Hydropower Dev.,Hydropower
RHPL,Rasuwagadhi Hydropower Co.,Hydropower
RURU,Ruru Jalbidhyut Prowasi,Hydropower
SANJEN,Sanjen Jalvidhyut Company,Hydropower
SAPDBL,Saptakoshi Parbatiya Hydro,Hydropower
SHEL,Singati Hydro Energy Ltd.,Hydropower
SJCL,Sanjel Jalvidhyut Ltd.,Hydropower
SMJC,Sagarmatha Jalbidhyut,Hydropower
SPDL,Syange Power Development,Hydropower
