Date,Open,High,Low,Close,Volume
2021-01-03,520.0,527.8,504.52,512.2,25000
2021-01-04,512.2,526.13,504.52,518.35,25350
2021-01-05,518.35,532.44,510.57,524.57,25700
2021-01-06,524.57,538.82,516.7,530.86,26050
2021-01-07,530.86,545.29,522.9,537.23,26400
2021-01-10,537.23,551.84,529.17,543.68,26750
2021-01-11,543.68,558.45,535.52,550.2,27100
2021-01-12,550.2,558.45,533.82,541.95,27450
2021-01-13,541.95,556.68,533.82,548.45,27800
2021-01-14,548.45,563.36,540.22,555.03,28150
2021-01-17,555.03,570.12,546.7,561.69,28500
2021-01-18,561.69,576.96,553.26,568.43,28850
2021-01-19,568.43,583.88,559.9,575.25,29200
2021-01-20,575.25,590.88,566.62,582.15,29550
2021-01-21,582.15,590.88,564.82,573.42,29900
2021-01-24,573.42,589.0,564.82,580.3,30250
2021-01-25,580.3,596.07,571.6,587.26,30600
2021-01-26,587.26,603.22,578.45,594.31,30950
2021-01-27,594.31,610.46,585.4,601.44,31300
2021-01-28,601.44,617.79,592.42,608.66,31650
2021-01-31,608.66,625.2,599.53,615.96,32000
2021-02-01,615.96,625.2,597.62,606.72,32350
2021-02-02,606.72,623.21,597.62,614.0,32700
2021-02-03,614.0,630.69,604.79,621.37,33050
2021-02-04,621.37,638.26,612.05,628.83,33400
2021-02-07,628.83,645.93,619.4,636.38,33750
2021-02-08,636.38,653.68,626.83,644.02,34100
2021-02-09,644.02,661.53,634.36,651.75,34450
2021-02-10,651.75,661.53,632.34,641.97,34800
2021-02-11,641.97,659.42,632.34,649.67,35150
2021-02-14,649.67,667.33,639.92,657.47,35500
2021-02-15,657.47,675.34,647.61,665.36,35850
2021-02-16,665.36,683.44,655.38,673.34,36200
2021-02-17,673.34,691.64,663.24,681.42,36550
2021-02-18,681.42,699.94,671.2,689.6,36900
2021-02-21,689.6,699.94,669.07,679.26,37250
2021-02-22,679.26,697.72,669.07,687.41,37600
2021-02-23,687.41,706.09,677.1,695.66,37950
2021-02-24,695.66,714.57,685.23,704.01,38300
2021-02-25,704.01,723.15,693.45,712.46,38650
2021-02-28,712.46,731.83,701.77,721.01,39000
2021-03-01,721.01,740.6,710.19,729.66,39350
2021-03-02,729.66,740.6,707.94,718.72,39700
2021-03-03,718.72,738.25,707.94,727.34,40050
2021-03-04,727.34,747.11,716.43,736.07,40400
2021-03-07,736.07,756.07,725.03,744.9,40750
2021-03-08,744.9,765.15,733.73,753.84,41100
2021-03-09,753.84,774.33,742.53,762.89,41450
2021-03-10,762.89,783.62,751.45,772.04,41800
2021-03-11,772.04,783.62,749.05,760.46,42150
2021-03-14,760.46,781.13,749.05,769.59,42500
2021-03-15,769.59,790.51,758.05,778.83,42850
2021-03-16,778.83,800.0,767.15,788.18,43200
2021-03-17,788.18,809.6,776.36,797.64,43550
2021-03-18,797.64,819.32,785.68,807.21,43900
2021-03-21,807.21,829.15,795.1,816.9,44250
2021-03-22,816.9,829.15,792.58,804.65,44600
2021-03-23,804.65,826.52,792.58,814.31,44950
2021-03-24,814.31,836.44,802.1,824.08,45300
2021-03-25,824.08,846.48,811.72,833.97,45650
2021-03-28,833.97,856.64,821.46,843.98,46000
2021-03-29,843.98,866.92,831.32,854.11,46350
2021-03-30,854.11,877.33,841.3,864.36,46700
2021-03-31,864.36,877.33,838.62,851.39,47050
2021-04-01,851.39,874.53,838.62,861.61,47400
2021-04-04,861.61,885.03,848.69,871.95,47750
2021-04-05,871.95,895.65,858.87,882.41,48100
2021-04-06,882.41,906.39,869.17,893.0,48450
2021-04-07,893.0,917.28,879.61,903.72,48800
2021-04-08,903.72,928.28,890.16,914.56,49150
2021-04-11,914.56,928.28,887.33,900.84,49500
2021-04-12,900.84,925.32,887.33,911.65,49850
2021-04-13,911.65,936.43,897.98,922.59,50200
2021-04-14,922.59,947.66,908.75,933.66,50550
2021-04-15,933.66,959.03,919.66,944.86,50900
2021-04-18,944.86,970.54,930.69,956.2,51250
2021-04-19,956.2,982.19,941.86,967.67,51600
2021-04-20,967.67,982.19,938.85,953.15,51950
2021-04-21,953.15,979.06,938.85,964.59,52300
2021-04-22,964.59,990.81,950.12,976.17,52650
2021-04-25,976.17,1002.7,961.53,987.88,53000
2021-04-26,987.88,1014.73,973.06,999.73,53350
2021-04-27,999.73,1026.91,984.73,1011.73,53700
2021-04-28,1011.73,1039.23,996.55,1023.87,54050
2021-04-29,1023.87,1039.23,993.38,1008.51,54400
2021-05-02,1008.51,1035.92,993.38,1020.61,54750
2021-05-03,1020.61,1048.35,1005.3,1032.86,55100
2021-05-04,1032.86,1060.93,1017.37,1045.25,55450
2021-05-05,1045.25,1073.66,1029.57,1057.79,55800
2021-05-06,1057.79,1086.54,1041.92,1070.48,56150
2021-05-09,1070.48,1099.58,1054.42,1083.33,56500
2021-05-10,1083.33,1099.58,1051.07,1067.08,56850
2021-05-11,1067.08,1096.08,1051.07,1079.88,57200
2021-05-12,1079.88,1109.23,1063.68,1092.84,57550
2021-05-13,1092.84,1122.54,1076.45,1105.95,57900
2021-05-16,1105.95,1136.01,1089.36,1119.22,58250
2021-05-17,1119.22,1149.64,1102.43,1132.65,58600
2021-05-18,1132.65,1163.43,1115.66,1146.24,58950
2021-05-19,1146.24,1163.43,1112.11,1129.05,59300
2021-05-20,1129.05,1159.74,1112.11,1142.6,59650
